well,manufacture,run,trl,pulling_date,failure_mode,category,failure_item,failure_item_specific,general_failure_descriptor,detailed_failure_descriptor,general_failure_cause,specific_failure_cause,recommendation,area,package,runlife_code,data_reference,difa_meeting_with_vendor,failure_component_pump,failure_component_motor,failure_component_protector,reservoir_fluids,note,failure_component_mle,failure_component_main_cable,failure_component_gas_separator_or_intake,installation_date,difa_date,dhp_date
EA-C6,Reda,469.0,935.0,2020-12-17 10:04:48,EDHP,DIFA Eksternal,Main Cable,Insulation,Mechanical Failure,"Ruptured,burst",Operation Related,Operating Procedure,Possible root cause: Cable armor and jacket scratched during RIH ESP -> Rubber jacket integrity reduce overtime -> Power outage and ESP restart add stress to this damaged area -> Main cable burnt -> EDHP Recommendation: 1. RIH casing scrapper and ensure the casing is in good condition. 2. Apply scale inhibitor (thick layer of scale that covered ESP housing reacted with HCL 15%).,SBU,A,GREEN,DIFA,Not Yet,,,,,"1. Pump LT/ST: Shaft rotation turn free, Stages erroded and severe thrust wear, DT washer missing, Housing erroded and scratch 2. GS: No DIFA 3. Protector: Dark water inside top bag, Top mechanical seal leaks. 4. Motor: P-P: 0.6/0.6/0.6 ohm P-G: 2200/2200/2200 Mohm, Dark oil and no water, Heat Note on rotor bearing, Rotor bearing sleeve discolored, Thick scale on housing. 5. Sensor: Sensor test was tool fault, P-G: 100 ohm 6. Cable: P-G : 0/0/31.1 Mohm, Heavily scratch on 2 area about 10ft, armor gone, cable burnt at this point.",,Insulation,,2019-07-06,2021-02-11,2020-10-16
WE-26,Powerlift,2129.0,571.0,2020-12-19 07:55:12,EDHP,No DIFA,Protector,Bag,Mechanical Failure,"Ruptured,burst",Operation Related,Normal Wear And Tear,"Failed bag has caused water penetrate to all chamber, no lubrication on thrust bearing and then seized. This has caused protector shaft broken Iimprove protector material to prolong the runlife (this ESP was RL 2129 days)",NBU,C,GREEN,DIFA,Not Yet,,,Bag,,"1. Pump: stages slight thrust wear and sligthly erroded. Rotation was free. 2. Protector UT: Shaft broken at snap ring, bag ruptured, water in all chambers, thrust bearing severely worn. Protector LT: Bag ruptured, water inside all chamber, thrust bearing severely worn. 3. Motor LT: burnt out, water inside, thrust bearing severly worn, housing corroded. Motor UT: low meg, water inside, pothead body cracked, rotor strike, thrust bearing severly worn, housing corroded. 3. sensor: left in hole",,,,2015-01-28,2021-01-07,2020-11-25
CE-10,Powerlift,164.0,1680.0,2020-12-23 00:00:00,EDHP,DIFA Eksternal,Protector,Mechanical Seal,Material Failure,Cracked,Fabrication Related,Manufacturing Problem,Possible root cause: Mechnical seal failure -> water penetrate to Protector and motor -> motor bad reading -> EDHP *Note: also found pump shaft broken due to 70% stages plugged with sand Recommendation: 1. Improve quality of mechanical seal and bag 2. Apply sand control.,SBU,B,ORANGE,DIFA,Not Yet,,,Mechanical Seal,,"1. Pump: Shaft broken, Stages erroded and 70 %plugged with sand , Stages wear, UT and DT washer missing, Head 80% plugged with sand.. 2. GS: Shaft turns free, Rotor erroded, Inducer section erroded, Housing erroded. 3. Protector LT: Water inside, Top mechanical seal leaks due to seal bellow was cracked, Thrust bearing wear. Protector UT: Water inside, Top and middle mechanical seal leaks, Top mechanical seal bellow was hard, Top and bottom bag was ruptured, Thrust bearing wear. 4. Motor: P-P: 0.874/0.874/0.874 ohm P-G: 10/10/10 Mohm. Clear oil and water inside, Rotor bearing sleeve worn, Thrust bearing wear, Housing scaled and corroded, Head and base bushing worn. 5. Sensor: Function test not passed. 6. Cable: P-P: 2000 Mohm P-G: 2000 Mohm, Hipot test result passed.",,,,2020-05-28,2021-01-20,2020-11-07
SH-C5,Reda,172.0,305.0,2020-12-23 00:00:00,EDHP,DIFA Eksternal,MLE,Insulation,Electrical Failure,Short Circuit,Operation Related,Operating Procedure,- ESP vendor shall provide proper protectorizer - Refresh training to ESP crew about protectorizer installation - Clean out sand prior to ESP installation Possible root cause : Improper Protectorizer installation (suspect too tight) --> MLE armor & insulation damage --> fluid penetrate to MLE conductor --> MLE burnt out --> EDHP,CBU,A,ORANGE,Pulling,,,,,Sand,"Dismantle Finding : - Found tubing thread damage at joint 31st - Pump UT S/R stuck, Found heavy oil and sand (minor) on top - Pump LT S/R stuck, Found heavy oil and sand (minor) on top - Protector S/R free, found black Oil inside all section chamber - Motor S/R free, pothead burn out and leaking, unable reading motor since totally burn out at base of pothead, black oil on head, motor housing leak near pothead. - MLE cable burnt out at each protectorizer position",,,,2003-10-05,,2004-03-24
WE-22,Powerlift,1194.0,587.0,2020-12-24 00:00:00,DHP TL,No DIFA,Pump,Stages,Material Failure,Eroded,Operation Related,Normal Wear And Tear,Pump had been running for 1194 days (TRL: 587 days) ==> stages get eroded over time ==> pump lost some of its head ==> no or less fluid pumped to surface ==> DHP Recommendation: 1. Apply scale inhibitor (recacts with Hcl 15%) 2. Apply corrosion inhibitor or use corrosion resistant ESP housing 3. improve bag and mechanical seal elastomer material to prolong ESP runlife,NBU,C,GREEN,DIFA,,Stages,,,,"1. Pump LT: Shaft turns rough, stages erroded and severe wear, UT washer missing, Shaft scored. Pump UT: Shaft turns rough, stages erroded and severe wear, UT washer missing, Shaft scored. 2. Intake: Shaft turns free, Head and base bushing worn. 3. Protector UT: Shaft turns free, shaft scored, dark oil and water inside all chamber, Top mechanical seal damaged, Bottom bag punctured, Thrust bearing severe wear, vibration mark on housing, Head dan base bushing uniform radial wear. Protector LT: Shaft turns free, shaft scored, dark oil inside all chamber,top mechanical seal damaged, top and bottom bag collapsed, thrust bearing severe wear, vibration mark on housing, Head dan base bushing uniform radial wear. 4. Motor UT: Shaft turns free, 0.332/0.332/0.332 ohm P-G: 2000/2000/2000 Mohm, Clear oil and no water, Rotor bearing sleeve worn, Thrust bearing moderate wear, Shaft scored, Scaled and corroded on housing, Head bushing uniform radial wear, Base bushing one sided radial wear. Motor LT: Shaft turns free, P-P: 0.339/0.336/0.34 ohm P-G: 2000/2000/2000 Mohm, Clear oil and no water, Rotor bearing sleeve worn, Thrust bearing moderate wear, Shaft scored, Scaled and corroded on housing, Head bushing one sided wear. 5. Sensor: No sensor 6. Cable: P-P: 2000 Mohm P-G: 2000 Mohm, Hipot test result passed.",,,,2017-07-16,2021-01-06,2020-10-21
YC-03,Reda,4061.0,1880.0,2020-12-31 00:00:00,MDHP,No DIFA,Pump,Coupling,Mechanical Failure,Broken,Operation Related,Normal Wear And Tear,ESP vendor shall improve coupling material Possible root cause : Coupling material brittle due to run long time --> Coupling broken --> ESP unable pump fluid to surface --> MDHP,CBU,A,GREEN,Pulling,,,,,,"Dismantle Finding : - Pump UT S/R free, housing scrapped & blistered paint - Pump CT coupling broken (UT-CT), housing scrapped and blistered paint - Pump LT S/R free, Housing scrapped and blistered paint. - Protector S/R free, water inside head protector, empty oil at Lower chamber, Housing was blistered paint - Motor S/R free, clean oil inside motor head, Housing was scrapped and blistered paint, Electrical reading was normal (P-P 0.8 Ohm, P-G 150Mohm)",,,,2009-10-05,,2020-11-16
CE-04,Reda,529.0,1700.0,2020-12-31 04:48:00,MDHP,DIFA Eksternal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,"Possible Root cause: Thick layer of scale on pump stages ==> locked the shaft and stages to rotated freely ==> In the same time, motor kept pushing the pump be rotated ==> shaft broke note: Sand was also found deposit in pump impellers and diffusers. Recommendation: '1. Current run life was increase from about 100 days to 548 days means that scale inhibitor worked. But need to re-composite or mix the scale inhibitor since the scale type is changed from Barium to Carbonat 2. Evaluate scale inhibitor period for ESP run life 3. Recommend to set PSD at 3200 which PBHP is 213. 4 psi with low deviation",SBU,A,GREEN,DIFA,Not Yet,Shaft,,,Sand & Scale,"1. Pump LT: Shaft stuck and broken, Thick Scale on stages, Scaled on housing. Pump CT: Shaft stuck, Thick scale on stages, Scaled on housing. Pump UT: Shaft stucK, Thick scale on stages, Scaled on housing. AGH: Shaft turns free, Shaft twisted on the bottom, Thick scale on stages, Scale on housing. This scale reacted with HCL 15% 2. GS: Intake screen plugged by scale, Shaft turns free, Scale on housing. 3. Protector: Dark water inside bag and labyrinth chamber, Top mechanical seal leaks. 4. Motor: P-P: 1.7/1.7/1.7 Ohm P-G: 2200/2200/200 Mohm, Dark oil and no water, Scale on housing. 5. Sensor: No DIFA 6. Cable: No DIFA.",,,,2019-06-05,2021-02-04,2020-11-14
WB-10,Powerlift,35.0,745.0,2020-12-31 15:50:24,EDHP,DIFA Internal,Motor,Insulation/winding,Electrical Failure,Short Circuit,Operation Related,Operating Procedure,"Possible Root Cause: Surface Facility (Trafo) Problem -> Voltage unbalance -> ESP motor running in unstable condition -> weaken the insulation -> motor burnt. Note : Ex-Trafo of WIDA-10 was tested at WIDA-03 and experience same trip (voltage unbalance). Recommendation: 'If ESP experience trip w/ voltage unbalance, ESP team & Production electrician shall check all iso-trafo condition include replace vacum contactor prior restart ESP.",NBU,C,RED,DIFA,Done,,Insulation/winding,,,"1. Pump LT: Shaft turns free (all parts in good condition) Pump UT: Shaft turns free (all parts in good condition) 2. Intake: No DIFA 3. Protector: All clear oil (all parts in good condition) 4. Motor LT: P-P: 0.522/0.522/0.521 ohm P-G: 35.9/36.6/36.6 Mohm, clear oil and no water, scale on housing, rotor bearing sleeve worn Motor UT: P-P: 0.535/0.528/0.532 ohm P-G: 23.5/34.4/6.5 Mohm, clear oil and no water, scale on housing, rotor bearing sleeve worn. 5. Sensor: Sensor was in good condition, function test ok 6. Cable: Cable was in good condition, P-G: 2000 Mohm P-P: 2000 Mohm, Hipot test passed.",,,,2020-08-31,2021-01-28,2020-10-04
SA-04,Powerlift,1366.0,1380.0,2021-01-03 00:00:00,DHP TL,DIFA Eksternal,Tubing,Body,Material Failure,Eroded,Other,Tubing Leak,Possible root cause: Corrosion on ESP and tubing -> Tubing leak@1 joint above RCV -> DHPTL Recommendation: 1. Apply corrosion inhibitor and corrosion ressistant tubing/ESP 2. Improve bag and mechanical seal quality 3. Apply scale inhibitor(reacted against 15% HCl).,SBU,B,GREEN,DIFA,Not Yet,,,,Sand,"1. Pump LT: Shaft turns free, Stages erroded and moderate thrust wear, UT washer missing, Scaled on housing(Scale reacted against 15% HCl). Pump UT: Shaft turns free, Stages erroded and moderate thrust wear, UT washer missing, Scaled on housing(Scale reacted against 15% HCl). 2. GS: Shaft turns free, Bottom inducer broken, Top radial bearing uniform wear,Bottom radial bearing cracked. 3. Protector LT: Shaft turns free, Dark oil and water inside all chamber, Bottom bag blown/ruptured. Protector UT: Shaft turns free, Shaft radial scored, Dark oil and water inside all chamber, Bottom and top bag blown/ruptured, Top and middle mechanical seal damaged, Thrust bearing moderate wear. 4. Motor:Shaft turns free, Shaft scored P-P: 1.44/1.44/1.44 Ohm P-G: 2000/2000/2000 Mohm, Pothead damaged, Dark oil and no water, Rotor bearing sleeve worn, Scaled on housing and corroded 5. Sensor: P-G: 10 Gohm ,Function test failed. 6. Cable: P-P:2000 Mohm P-G: 2000 Mohm, Hipot test result passed.",,,,2017-02-19,2021-01-29,2020-11-15
SF-C3H,Reda,279.0,385.0,2021-01-08 00:00:00,EDHP,DIFA Eksternal,No ESP Failure,No ESP Failure,Other,Other,Other,KUPL,"Possible root cause: Based on pull report, ESP ex well SURA-C3 was pulled out due to work over and stimulation program after run for 278 days. Based on tear down result, found there was no failure on ESP. But found debris material on pump which caused pump rotation rough. Insignificant scale was found as well on stages. Recommendation: 1.Clean up the well prior ESP installation",SBU,Old,ORANGE,DIFA,Done,,,,,"1. Pump LT: Shaft turns free, Stages scaled and moderate wear, DT Washer missing,. Pump UT: Shaft turns rough, Stages scaled and moderate wear, DT washer missing, Scaled on housing. 2. GS: All parts in good condition. 3. Protector: Dark oil and water inside top bag, Top mechanical seal leaks, Scale on top mechanical seal. 4. Motor: P-P: 2.1/2.1/2.1 Ohm P-G: 2200/2200/200 Mohm , Dark oil and no water inside, Thrust washer brittle, Scaled on housing. 5. Sensor: No DIFA 6. Cable: No DIFA",,,,2008-08-04,2021-02-19,2009-05-09
WB-27,Powerlift,1813.0,591.0,2021-01-09 00:00:00,EDHP,No DIFA,MLE,Insulation,Electrical Failure,Short Circuit,Operation Related,Normal Wear And Tear,"Possible root cause: Sand produced from reservoir -> Pump stages erroded overtime -> Create hole on diffuser and housing -> MLE erroded at this area -> MLE insulation damaged -> EDHP *Notes: This ESP has been running 1813 days, above TRL (591 days) considered normal wear and tear due to ESP RL above OSES ESP RL (596 days) Recommendation: 1. Apply scale inhibitor (reacted against 15% HCl) 2. Use corrosion inhibitor or corrosion ressistant ESP 3. Use abration ressistant stages",NBU,C,GREEN,DIFA,Not Yet,,,,,"1. Pump UT: Shaft turns free, Stags erroded and corroded also slight wear, DT washer missing, Scale on housing (reacted against 15% HCl), and erroded also blistered paint. Holes found on housing and diffuser at 3 ft from base. Pump LT: Shaft turns free, Stages severely erroded and corroded also slight wear, Found hole on diffuser, DT washer missing, Scale on housing (reacted against 15% HCl). 2. Intake: Shaft turns free, Scale on top coupling, head, base (reacted against 15% HCl). 3. Protector UT: Shaft turns free, All clear oil in all chambers, Scale on housing and head (reacted against 15% HCl). Protector LT: Shaft turns free, All clear oil in all chambers, Scale on housing and head (reacted against 15% HCl), Bottom and top bag collapsed. 4. Motor: Shaft turns free, Shaft scored, P-P: 1.18/1.179/1.178 Ohm P-G: 50/50/50 Mohm, Pothead damaged, Dark oil and water, Rotor bearing sleeve worn, Scaled on housing (reacted against 15% HCl), Housing corroded and also blistered paint. 5. Sensor: Was in good condition, Function test passed 5. Cable: P-P: 2000 Mohm P-G: 2000 Mohm, Hipot test passed 6. MLE: burnt out (No DIFA data/Picture)",Insulation,,,2015-10-23,2021-02-01,2020-09-23
FC-09,Reda,476.0,766.0,2021-01-09 06:00:00,EDHP,DIFA Eksternal,MLE,Insulation,Electrical Failure,Short Circuit,Other,Power Outage,- Need scale treatment prior to ESP installation - Need clean out sand prior to ESP installation - ESP vendor shall improve MLE & pothead quality Possible root cause : Power outage --> MLE insulation close pothead burnt out --> Pothead damage --> water penetrate to motor through pothead damage --> Motor burnt out --> EDHP,CBU,A,GREEN,Pulling,,,Insulation/winding,,Sand,"Dismantle Finding : - Pump UT S/R free, Found scale on pump head, housing was covered by sand & scale - Pump CT S/R free, housing was covered by sand & scale - Pump LT S/R free, housing was covered by sand & scale - Intake S/R free, screen covered by scale, housing was covered by scale - Protector S/R free, found oil mixed water on protector head, clean oil inside lower chamber - Motor S/R free, found water inside on motor head, housing covered by scale, MLE pothead cracked and flat cable burnt out near pothead, bad electrical reading P-P: OL/OL/OL, P-G: 0.2 ohm / 30 MOHM/ 30 MOHM. - Found main cable blow out at 53 & 54 stds, found scale in armor cable, bad electrical reading P-G= 0 MOHM.",Insulation,,,2019-07-28,,2020-11-14
CI-01,Powerlift,272.0,906.0,2021-01-10 00:00:00,MDHP,DIFA Eksternal,Pump,Housing,Mechanical Failure,Leaking,Reservoir Related,Reservoir Fluids,Possible Root cause: sand produced from well -> pump stages severely erroded by sand -> create 3 holes on stages and housing -> significantly reduce pump build up pressure -> MDHP. Reccomendation 1. Clean Out Sand prior ESP Installation. 2. QN55 pump shall use full Coating (housing & stages coating) 3. Need to Review QN55 Pump Design since experience housing & stage leak several times.,SBU,D,ORANGE,DIFA,Done,Housing,,,Sand & Scale,"1. Pump LT: All stages erroded, corroded, and scaled, UT Washer missing, 3 holes on housing due to erroded by sand. Pump UT: All stages erroded, corroded, and scaled, UT Washer missing, 3 holes on housing due to erroded by sand. 2. GS: Pugged by 60% scale, Shaft turns free 3. Protector: Dark water inside, Top and middle mechanical seal leaks, Bottom bag punctured, scale on housing. 4. Motor: P-P: 1.341/1.365/1.365 ohm P-G: 2000/2000/2000 Mohm, Oil all clear no water, Housing covered by light scale, Rotor bearing sleeve worn. 5. Sensor: good condition, function test ok 6. Cable: good condition, P-P: 2000 Mohm P-G: 2000 Mohm, Hipot test passed",,,,2020-04-10,2021-02-01,2021-01-01
FC-11,Reda,124.0,317.0,2021-01-15 00:00:00,EDHP,DIFA Internal,MLE,Insulation,Electrical Failure,Short Circuit,Fabrication Related,Manufacturing Problem,- Need scale treatment prior to ESP installation - Need clean out sand prior to ESP installation - ESP vendor shall improve MLE & pothead quality Possible root cause : MLE insulation close pothead burnt out --> Pothead damage --> water penetrate to motor through pothead damage --> Motor burnt out --> EDHP,CBU,A,ORANGE,Pulling,,,Insulation/winding,,Sand,"Dismantle Finding : - Found BOH plugged by scale and sand, housing was covered by heavy scale and sand. - Pump UT S/R free, found sand and scale on pump head, housing was covered by heavy scale and sand. - Pump CT S/R free, found sand and scale on pump head, housing was covered by heavy scale and sand. - Pump LT S/R free, found sand and scale on pump head, housing was covered by heavy scale and sand. - Intake S/R free, screen clear, housing was covered by heavy scale and sand. - Protector S/R free, found black oil and water on protector head, empty oil at lower chamber, housing was covered by heavy scale and sand. - Motor S/R free, found water inside on motor head, housing was covered by heavy scale and sand, MLE cable parted from motor pothead, Motor electrical reading was P-P: OL/OL/OL, P-G: 0 MOHM.",Insulation,,,2020-07-06,,2020-11-06
ND-C4,Reda,278.0,333.0,2021-01-16 00:00:00,EDHP,DIFA Eksternal,Protector,Mechanical Seal,Mechanical Failure,Leaking,Reservoir Related,Reservoir Fluids,"Possible root cause: 1. Pump heavy downtrust -> generated heavy load to protector -> damaged all protector mec.seal and thrust bearing -> all chambers contaminated -> water ingressed into lower chamber and continue to motor -> motor grounded (burnt) 2. Scale damage mech shaft in upper chamber -> well fluid ingest until lower chamber -> thrust chamber contaminated -> thrust bearing wear -> shaft shifted down -> down thrust occurs in pump impeller diffuser. note: the pump was heavy downthrust, suspected due to thrust bearing had loss of its thickness Recommend: '1. Recommend to check well fluid composition becaused of corrosion on ESP housing 2. Perform scale and corrosion inhibitor.",SBU,E,ORANGE,DIFA,Done,,,Mechanical Seal,Scale,"1.Pump LT: Shaft rotation turns free, Stages severe thrust wear, DT Washer missing, Housing was pitted Pump CT: Shaft turns free, Stages severe thrust wear, DT Washer missing, Housing was pitted. Pump UT: Shaft turns free, Stages severe thrust wear, DT Washer missing, Housing was pitted. AGH: Shaft turns free, Stages severe thrust wear, DT Washer missing, 2. GS: All parts in good condition 3. Protector: Dark oil and water Inside all chambers, All mechanical seal leaks, Top and Bottom Bag collapsed, Thrust bearing severe wear, Housing pitted. 4. Motor: P-P:45.9/54.8/99.3 ohm P-G: 0/0/0 Mohm, Burned at top end turn stator, Dark oil and water inside, Housing severe corroded. 5. Sensor: No DIFA 6. Cable: No DIFA",,,,2020-02-01,2021-02-17,2020-11-04
KG-09,Powerlift,376.0,1250.0,2021-01-23 00:00:00,EDHP,DIFA Eksternal,Penetrator Assy,Conductor,Electrical Failure,Open Circuit,Installation Related,Installation Procedure,Possible root cause: Penetrator BIW open circuit -> EDHP *Notes: No DIFA report Recommendation: 1. Ensure penetrator installation follow the procedure 2. Apply scale inhibitor (reacted against 15% HCl).,CBU,B,YELLOW,DIFA,Not Yet,,,,,"1. Pump UT: Shaft turns free, UT and DT washer missing. Pump LT: Shaft turns free, UT and DT washer missing. 2.Intake: Shaft turns free (All parts in good condition). 3. Protector UT: Shaft turns free,Shaft scored, Dark oil and water inside Top and bottom bag, Dark oil inside labyrinth and thrust chamber, Top mechanical seal damaged, Bottom bag ruptured, Thrust bearing moderate wear. Protector LT: Shaft turns free, Dark oil in all chambers (All parts in good condition). 4. Motor: Shaft turns free, Shaft scored, P-P: 1.575/1.58/1.575 Ohm P-G: 2000/2000/2000 Mohm , Dark oil and no water, Rotor bearing sleeve worn, Scaled on housing (reacted against 15% HCl), Head and base bushing uniform radial wear. 5. Sensor: P-G: 10 Gohm, Function test passed. 6. Cable: P-P: 2000 Mohm P-G: 2000 Mohm, Hipot test passed. 7. Penetrator: BIW Cable has no reading/Open loop. ( From Vendor DIFA report).",,,,2019-10-21,2021-02-16,2020-10-30
RF-02,Reda,1113.0,420.0,2021-01-25 00:00:00,EDHP,No DIFA,Pump,Stages,Mechanical Failure,Stuck,Other,Power Outage,Possible root cause : Power outage --> suspect solid settle and plugged inside pump UT stages --> shaft rotation stuck --> ESP trip OL --> Motor insulation weaken --> Motor Low reading --> EDHP,SBU,A,GREEN,Pulling,,Stages,Insulation/winding,,,"Dismantle Finding : - Pump UT S/R Stuck, housing was covered minor scale - Pump LT S/R free, coupling stuck, housing was covered minor scale - Protector S/R free, dirty oil inside lower chamber, housing was covered minor scale - Motor S/R free, clean oil on motor head, minor scale on housing, bad electrical reading. P-P: 1.5 OHM (BLC), P-G= 0 MOHM (BLC, Low reading) - Found armor main cable scrapped at 6 jts above packer, P-P= 50/50/50 MOHM, P-G= 50/50/OL MOHM - Sensor normal, electrical reading was normal.",,,,2017-09-29,,2020-10-19
ZB-07,Reda,116.0,221.0,2021-01-28 00:00:00,MDHP,DIFA Internal,Pump,Stages,Mechanical Failure,Stuck,Reservoir Related,Reservoir Fluids,"Possible root cause: Thick layer of scale coated all pumps inner parts such as impellers, diffusers, shaft, coupling ==> pump shaft rotation stuck ==> but motor kept push the shaft to be rotated ==> shaft broken ==> MDHP note: Found fine sand deposit on pump stages as well. Recommendation: '1. Clean up wellbore prior ESP installation 2. Perform scale inhibitor, or using cap tube cable for continuous inhibition (the scale react with 15% HCl) 3. Recommend to use VSD to minize sand production",CBU,A,ORANGE,DIFA,Done,Stages,,,Scale,"1. Pump LT: Shaft turns free, Shaft broken, Stages scaled and slight thrust wear, DT Washer missing, Scaled on housing. Pump CT1: Shaft stuck, Stages scaled and slight thrust wear, Impeller moderate radial wear, Coupling scaled, Scaled on housing. Pump UT: Shaft stuck, Shaft broken, Stages scaled and moderate thrust wear, Coupling scaled, Scaled on housing, Thick scaled on head. This scal react with HCl 15%. 2. GS: All parts in good condition 3. Protector LT: All clear oil, Scale on housing. Protector UT: Clear water inside top bag, Top mechanical seal leaks, Scale on housing. 4. Motor: P-P: 0.7/0.7/0.7 ohm P-G: 2200/2200/2000 Mohm, Clear oil and no water, Thick layer scale on housing. 5. Sensor: No DIFA 6. Cable: No DIFA",,,,2019-07-06,2021-03-03,2019-10-29
CB-12,Baker,23.0,1310.0,2021-02-03 00:00:00,MDHP,DIFA Internal,Protector,Shaft,Mechanical Failure,Broken,Fabrication Related,Manufacturing Problem,Possible root cause: 1. Manufacturing defect due to two bushings from bottom protector were under size ==> when operating it rotated inside the bushing suppot hole ==> created vibration and wobble on the shaft lower end ==> torque from motor sent to protector shaft through coupling ==> protector shaft broke at spline just above the coupling ==> MDHP 2. Equipment dropped/ got hit during handling ==> cause two bushings from bottom protector loosen ==> when operating it rotated inside the bushing suppot hole ==> created vibration and wobble on the shaft lower end ==> torque from motor sent to protector shaft through coupling ==> protector shaft broke at spline just above the coupling ==> MDHP Recommendation: 1. Ensure protector assembly technician or QC team at workshop to follow SOP for measuring the bushing size and ensure it meet the requirement. 2. - Share SOP for ESP transportation / handling to the crew. - Generate ESP transportation / handling checklist for clear SOP implementation. - Improve basket for ESP transportation,SBU,F,RED,DIFA,Not Yet,,,Shaft,,"1. Pump LT: Rotation stuck, light scale on stages, metal debis inside stages, housing corroded, no sand found. 2 Protector: Broken shaft at lower spline, little water inside top bag, thrust bearing moderate wear, 3. Motor: P-G = 2000 Mohm, P-P= 0.45 ohm (balanced), no water inside 4. Cable: armor was in good condition, P-G= 8300 Mohm 5. Sensor: Function test passed, Ct= 9.8mA",,,,2020-11-23,2021-03-02,2020-12-15
RF-03ST,Baker,209.0,400.0,2021-02-05 00:00:00,MDHP,DIFA Eksternal,Pump,Stages,External Influence,Plugged With Solids,Reservoir Related,Reservoir Fluids,"Possible root cause: Power outage ==> Sand + scale settled and build up on pump stage ==> pump stuck/stall motor and no flow to surface ==> MDHP Recommendation: - Bail out/ clean out sand prior to ESP installation. - Exercise to use sand guard / ADV or another application that improve ESP runlife in sandy well. - Raise up pump setting depth for next installation, - Keep applying scale inhibitor (use CISI), - Further lab check for compatibility scale and inhibitor. Operation Related : - ESP run by VSD - Using MLE protectorizer to avoid MLE damage during RIH. - Run casing scrapper, especially at PSD. MLE damage found at this depth.",SBU,F,ORANGE,DIFA,Done,Stages,,,Sand,"1. Pump: shaft was stuck, head and stages were completely plugged by sand (react with HCL), stages covered by scale (slowly react with HCL) AGH: Sand and scale found inside stages 2. Protector: overall condition was good, dark oil (no water) inside all chamber 3. Motor: Motor + pothead P-G= 67 ohm, Motor only P-G= 2000 Mohm, no oil sample during DIFA 4. Cable: MLE @ 2ft and 6 ft from pothead were pinched. After pinched points were cut, main cable + MLE reading was good P=G= 13400 Mohm, 5. Sensor: function test was good",,,,2020-03-21,2021-03-02,2020-10-16
ZB-12,Reda,107.0,285.0,2021-02-11 00:00:00,MDHP,DIFA Internal,Pump,Stages,External Influence,Plugged With Solids,Reservoir Related,Reservoir Fluids,"Possible root cause: Scale build up inside pump ==> pump stuck while in hole ==> motor OL ==> MDHP Recommendation: 1. Perform lab test to ensure scale type (since the scale is not react with HCl) 2. Perform scale treatment base on lab test result (wait on organic acid stimulation result in Zelda area) 3. Apply scale inhibitor (wait on scale type) 4. lower the CP or increase well productivoty index, CP was close to PBHP",CBU,A,ORANGE,DIFA,Done,Stages,,,Scale,"1. Pump UT: Shaft turns free, stages were covered by thick layer (did not react with 15% HCl), stages heavy thrust wear, stages light radial wear, housing slightly scratched and covered by scale, head 25% plugged by scale, DT washer missing. Pump CT: Shaft turns free, stages were covered by thick layer (did not react with 15% HCl), stages heavy thrust wear, stages light radial wear, housing slightly scratched and covered by scale, head 25% plugged by scale, DT washer missing. Pump LT: Shaft turns free, stages were covered by thick layer (did not react with 15% HCl), stages moderate thrust wear, stages light radial wear, housing slightly scratched and covered by scale, head 25% plugged by scale, DT washer missing. 2. VGSA: shaft rotation was free, housing and other parts covered by scale. 3. Protector UT: shaft rotation was free, water inside top bag-bottom bag- labyrinth-thrust chamber, both bags collapsed, mechanical seal #2 and #3 bellows deformed,one of downthrust bearing pad parted, housing scratched and coverred by scale. Protector LT: shaft rotation was free, clear oil inside,housing scratched and coverred by scale. 4. Motor: Shaft turns free, P-P=0.74/0.73/0.74 ohm (good), P-G=2200 Mohm (balanced), clear oil, housing scratched and covered by scale. 5. Sensor: no DIFA data 6. Cable: no DIFA data",,,,2019-06-27,2021-03-18,2019-10-11
SG-C5,Reda,602.0,588.0,2021-02-11 10:04:48,MDHP,No DIFA,Gas Separator/intake,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,- Need clean out sand prior to ESP installation - Need review chemical of stimulation treatment (if any) since found protector and motor housing got major corrosive or need using housing coated (if no stimulation treatment) Possible root cause : Sand plugged inside pump --> shaft rotation hard --> intake shaft broken --> MDHP,SBU,A,GREEN,Pulling,,Stages,,,Sand,"Dismantle Finding : - Found sand inside BOH - Pump UT S/R rough, found full sand on pump head, housing was covered by sand - Pump L/T S/R free, found minor sand on pump head. - Intake Shaft broken, minor sand on screen - Protector S/R free, found empty oil inside protector, housing major corroded - Motor S/R free, found clean oil on motor head, housing major corroded, motor electrical reading was normal.",,,Shaft,2019-04-07,,2020-11-28
